,beer/name,beer/beerId,beer/brewerId,beer/ABV,beer/style,review/appearance,review/aroma,review/palate,review/taste,review/overall,review/time,review/profileName,review/text
158,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,4,4.5,4,1299469158,FosterJM,"293rd review on Ba	Can to Pint		App- Light yellow with light orange highlights. A one finger head that was medium length of time sticking around. Nice lacing as well.		Smell- Very basic of wheat, hops and some lemony citrus.		Drink- Crisp, clean and well balanced. A nice wheat base with some crisp malts and a well done chewiness.		Mouth- A medium body with a medium carb level. Nice bigger body for a small ABV beer.		Drink- I feel this was a good beer. Should have checked out Caldera a long time ago. This is one of those beers that was a good way to start the evening. I would have this again during the summer for a nice beach day."
159,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),2,2,4,4,4.5,1298677831,bobhits,"I love cans. They pour great, don't let light in, and confuse the hell out of people when you bring them places. 		L. Pours a big head, but it vanishes quickly. Thin body with some carbonation but not much. Kind of reminds me of Sierra Nevada which has always been pretty low on my pale ale list especially on looks. Golden with a touch of copper in appearance, perhaps a HAIR darker than sierra.		S. Suble hop kiss, and caramel malt. Some sweet fruity amber malt as well. This smells a bit less sweet than their amber but otherwise seems the same. The IPA smells a lot better.		T. Sweet with some english/american grassy hops. These could be american hops but there's something very english tasting here. The hops finish with enough bite here which the smell and opening taste don't seems to hint at. 		D. Goes down easy and would be great on a hot day. 		M. A touch light on the carbination. As a result the hops have an almost spice like effect, the body isn't thick or syrupy, but is a very dry finish. I like this but there's something here that's a hair off. 		16 dollars for a 6 pack of cans. Thankfully I talked the guy at the store into letting me buy a single but at that price this is a JOKE. At 8-9 bucks a 6 pack, this would be a great summer beer and be worth while all the time. At 16 I just can't imagine ever even considering this beer again."
160,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,3,3.5,3.5,1298604088,u2carew,"12oz can.	A) Pours with a finger thick, white head that takes awhile to settle. Slightly hazy body. Active carbonation. Gold in color. Nice sticky lacing on the drink down.	S) Pink grapefruit. A hint of evergreen.	T) The initial flavors are washed out by the fizz. Once beyond that some dry nutty-ness liken to walnut. Grapefruit rind. A mellow sweetness throughout but not the main stay. A nice hop bite in the finish, but seems a bit too much for a pale ale.	M) Quite fizzy. Medium body. Dry.	D) A decent brew. I'd have another."
161,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,3,4,3,1296947205,beerman207,"Review is from notes. Picked this up while visiting family in pennsylvania. 		A: Dark yellow, good head, great pour		S: Hops, sugar, some floral 		T: Bitter up front, malt balances nicely		M: A bit bubbbly for my taste. Needs a little less carbonation		D: Ok. Not the best pale ale but decent."
162,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,3.5,4,3.5,1296194634,BEERchitect,"Well balanced between caramel maltiness and citrusy hops, this beer exemplifies the Pale Ale style nicely.		An expected deep golden to light copper color does the beer pour. Froathy head character amounts to an inch or so before settling it's white lace on the glass. Good retention, but great on lacing. A classic Pale Ale appearance.		Caramel, spice, and hops blend in the nose for the impression of graham crackers, orange rinds, and a touch of ginger. Very appealing aroma that doesn't let the hops nor the malt gain precidence.		Sweet maltiness sets the tone for taste with a medium caramel flavor, cracker-like breadiness, and a light grainy or crusty taste that gives a slight bite that ushers in the hop flavor and bitterness. Grapefruit, orange zest, and light grassy notes peak through early, but grow in intensity until the malt sweetness waivers, giving the finish and aftertaste a decidedly bitter ending to an otherwise balanced beer.		Malt sweetness gives a fuller, rounder sensation to the mouth, while the hops and moderate alcohol provide a drying and crispening finish. Though not complete in dryness or crispness in finish, the beer holds onto enough malt character to attempt balance deep in the finish and aftertaste.		With relatively low/no flaws in execution, the recipe formulation leads to a somewhat one-dimentional caramel malt sweetness that wears on the palate and hurts the sessionability of the beer. And with the standard malt/hop balance, there's not much intrigue to keep me comming back."
163,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,3.5,4,4,1292368869,msubulldog25,"Have had this (and other Calderas) a number of times; this 12 oz. undated (but fresh then) can was a leftover from a buddy's 40th a couple weeks back. Poured to a pint.		""Live Product: Keep Cool, Just Like You""		Around the lip: 	""Go Skiing - Go Fishing - Go Snowboarding - Go Biking - Go Rafting - Go Cans""		A: A glassful of golden sunshine on a dreary day; glowing maize with modest carbonation and a fine dusting of unfiltered-ness. Terrific head: a finger-and-a-half of white fluff that cracks slowly and breaks down to a concave cream. Slender icicle bands of lace.		S: Pleasant aroma of dried grass, a bready orange scone, some caramel. Hop aroma isn't pronounced.		T: Crackery pale malts initially, followed by wave after wave of herbed spiciness and orange/citrus pith. Hops are reigned in well, however; bitterness never really grabs hold. As someone who appreciates a balanced blend, this one's right up my alley. 		M: Creamy feel, soft carbonation, velvety coating. Medium body. Nothing to get all excited about, unless 'smoothness' gets you excited; if so, this is your beer. Slight stickiness and chalkiness in the finish detracts slightly.		D: Solid Pale Ale, well-balanced and easy to drink. All those activities listed above? Yeah, take this along while doing them. To the list, I'll add: 'Go Play Right Field for the Office Softball Team'; 'Go on a Double-Decker Bus Ride for a Friend's Birthday'; and 'Go Sit on the Couch after Hanging Christmas Lights'. Caldera, take it everywhere you go..."
164,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,4,3.5,4,1291082909,climax,"The can seemed to contribute to an exceptionally creamy head atop a cloudy golden yellow body. The color was a bright lemon yellow closer to the light source. The head retained itself well, dropping with rocky craters. 		The nose was crisp and refreshing. The bold caramel and citrus aromas hit the nose the hardest, balanced very well. Lemon and orange oils make up the citrus profile. The malt backbone is substantial, clean, pale malts for the most part.		The flavor had more hop intensity than I was expecting, yet the website claims 55 IBU's, so maybe I should have expected it. Strong soapy pine highlights crept close to IPAdom. The finish is long, dry, and bitter. 		The body had good viscosity, very creamy feel with a chalky dry finish. Not a bad effort here, this one is not for one who's hop shy. Caldera does make an IPA, I am now more excited (than 15 minutes ago) to try it."
165,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),5,4,4,4,4,1289995470,AEK,"355ml can poured into a young's pint pot.		A. Bright gold with a towering white head, bright gold that is until the sediment took over proceedings, the beer then took on a 'marbled' appearance with the yeast suspended half way up/half way down the glass. As it diminished, the head sounded like rice crispies 'popping'.		S. Lemony and zesty, good hop character.		T. A lovely hop bite accompanies the slightly fruity malt, splinters of pineapple.		M.Medium, mouth coating.		D. Another good offering from Caldera. These canned craft beers are a joy to have. Maybe one day ALL beer will be canned rather than bottled."
166,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3,3,2.5,3,3,1288306896,Tilley4,"Love the IPA from these guys so I had to give this one a go...		Pours a light golden yellow... Sorta hazy... Pretty decent head...		Balanced aromas of malt and hops with the malts being a little more dominant... 		Sweet buttery malts with a slight hop finish at the end... The hops seem a bit muted here... Could have been a bit more balanced... 		A decent brew I guess... Not one that I will reach for again especially with the IPA available.."
167,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4.5,4.5,4,4.5,1288229762,wcudwight,"Bright, clear golden color with a massive head that filled half the glass thanks to my overly-agressive pour. Head settles at a moderate pace and leaves lot's of sticky lacing. Already a sign of hop oils. I'm getting excited.	Citric hops in the aroma. Pink grapefruit.	Same citric hops that are in the aroma, are in the flavor, but the flavor is much more balanced than the nose forshadows. Sweet pale malts with a nice hop kick. Not overly complex but I don't expect APAs to be too complex. This is exactly what I look for in a Pale Ale.	Very crisp and refreshing and easy to drink. I could drink a few of these on a hot summer day. And the fact that it comes in a can just make it that much more portable for hikes and such."
168,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3,3.5,3,4,1288124891,kzoobrew,"Thanks to tjensen3618 for putting on the LIF which brought me this can.		Clear straw yellow body. Careful pour produces a towering four finger white head. The head works its way back at a moderate pace leaving some scattered lacing. 		The aroma is rather balanced. The pale malt is a bit more assertive than I would like to see in an APA. Pale malt is sweet and bready in the nose. Citrus fruit aroma provide the counterpoint to the malt.		Warm toasted bready flavors are the first to hit the palate. The hop flavor follows soon after but fails to assert itself enough to overcome the malt. Light grapefruit with a bit of a pithy bite. A brighter hop profile would do wonders hear.		Light to medium bodied beer with moderate carbonation. Smooth texture. The finish is moderately dry, a bit of malt flavor does linger a bit.		Yes, this beer is very drinkable but it also falls short of my expectations for the style. The aroma and flavor are lacking for an APA, the attributes remind me much more of an english style. This is a beer I could see drinking a few during a barbecue or other social events. Decent session beer."
169,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,3.5,4,3.5,1286931306,hawks10,"12oz can poured into an imperial pint glass. A new to me canned beer, love it...		Pours a clear golden amber with three fingers of frothy white head which leaves tons of lacing behind...		Strong citrus hop aroma at first, grapefruit. Sweet malts come forward after a few whiffs, slightly bready...		Decently hoppy for an APA, a lot of them just fall short in this category unfortunately. Overall sweet, juicy citrus hops are prevalent. Sweet, honey-like malt flavors come forward after the initial citrus hop taste fades, with some earthy dry hops quickly washing the sweetness away...		Medium bodied with good carbonation, smooth, a lingering bitter drying finish...		Pretty good, I love APA's out of a can...would like to try this again knowing for certain that it is fresh. Why can't breweries date their beers???!!! Frustrating!"
170,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4.5,4,4,4,4.5,1286887230,dudemuskie,"Grabbed a single 12oz can at The Andersons in Toledo, Ohio.		Appearance- Pours a brilliant deep straw color with faded hints of pale orange. Big, rocky eggshell white head rises and clings to the glass with each sip leaving an absolutely beautiful lacing behind.		Aroma- Bright hop aromas of grapefruit, pithy orange peel, and slightly pungent pine. Healthy burnt sugar and sweet malty undertones with a whisper of mineral-like yeastiness. 		Flavor- Nice balance from start through the middle and into the finish with soft caramel/burnt sugar maltiness and a hearty pungent citrusy vein of hop goodness. Bitterness and hop pungency intensifies into finish and lingers well beyond the exhale with a kiss of cracker-like light malt. Very refreshing, crisp, and edgy pale ale! 		Mouthfeel- Light to medium bodied, low-moderate residual sugars, moderate CO2. Nice balance, but definitely some sticky hoppiness to this brew. Refreshing with an edgy, pungent, minerally dryness in finish. 		Overall- This is ridiculously drinkable and just about everything you would want in a pale ale! Big hops, but nice dose of flavor, aroma, and bitterness in there. Just the right amount of malt sweetness to keep drinkability high. This would make an excellent lawnmower beer, but still has enough complexity/flavor to be a great pair with food- I'm thinking pulled pork and slaw, or anything spicy. I'll definitely grab more of this tasty nugget in a can!"
171,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,3.5,4,1286770715,elgiacomo,"12oz can, unknown date. 		Pours semi-hazy golden/orange/amber with a two finger fluffy white head that leaves some lacing and holds a fair cap. 		Aroma is fruity and citrusy, oranges, melons, pear, green apple, with with an equal amount of sweet caramel and biscuity malts. Some yeasty mustiness. Good overall strength. 		Flavor features some citrus, earthy, floral, and grassy hops, not as fruity as the nose, some crystal malt with mild sweetness, moderate bitterness, finishes quite dry. 		Mouthfeel is medium bodied, oily and slick with medium carbonation. 		Very good APA."
172,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3,4,2.5,4,1285123300,ArrogantB,"12oz can $2. I did not care for this beer. It looked good, orange, pale, good lace, decent head. It smelled kind of weak but not bad. It tasted like stale iced tea and I did not care for that flavor one bit. The IPA I had from this brewer was much better than this. For my money I'd stick with Full Sail Pale Ale for a couple dollars less."
173,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,3.5,4.5,4,1284070441,stephens101,"A golden orange and slightly fizzy brew with a slight fluffy off-white head that constricts slowly instead of outright fading away. A few minuscule dots of lace line the glass. A note of citrus hops is noticed on the nose at first, then a slight caramel sweetness follows up. Melon rind, a squirt of lemon on the tongue, some graininess in the background, and a drop of honey makes for a happy palate. Light to medium bodied with crisp edges. Cohesion is bliss."
174,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,5,3.5,3.5,1282616446,StaveHooks,"A - Pours a clear apricot orange. 1 finger sticky-looking head. Spotted lacing		S - Bready caramel malt, honey, citrus hops, tea like cracker background. Very tasty. Honey malt aftertaste		T - Honey caramel, spicy hops, green bark, slightly honey kissed floral, a slight earthiness/medicinal to the aftertaste.	 	M - Perfect. The carbonation yields a sublime texture for the style.		This is a good APA. However it does have some medicinal flavors that I'm not diggin."
175,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,3.5,3.5,3.5,1281751758,GarrettMD,"A - Pours a clear light yellow with 3 fingers foamy white head. Lots of carbonation bubbles.		S - Very nice malt aroma with floral and citrus hop aromas mixing nicely.		T - Taste follows the smell with floral, citrus hop notes, mild bitterness, very rich caramel malt base.		M - Light bodied, lots of carbonation, finish is all bittering hops.		D - Good drinkability, very smooth and the flavors work well together."
176,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4,1281407690,barleywinefiend,"A: Poured a nice golden color with good carbonation and a white head		S: Floral notes, herbal, light booze		T: Caramel, floral, even some biscuity notes at times		M: Nice feel, crisp and a good drink		D: Very good. Nice taste, very good West Coast take on a APA."
177,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4.5,4,4.5,1281230213,merlin48,"The can dispenses a hazy amber body with an attractive two finger offwhite head thst appears creamy and long lasting. Abundant patchy and sheet lacing is left on the glass.		Aroma is very citrusy, with orange, pink grapefruit, and pineapple hints. Toasted caramel underneath.		Mouthfeel is clean and evenly balanced, with a medium body and carbonation.		Taste has a prevailing citrusy and earthy hop bitterness that is delicately balanced by a honeyed caramel maltiness. Finishes clean and even with a lasting citrusy hop aftertaste.		Very nice! Tasty and highly drinkable."
178,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3,3.5,3,3.5,1280773118,jampics2,"Can I stumbled across somewhere in Ohio where this beer surfaced after being ""imported"" on the grey market. I was assured by the proprietor that this was fresh.		Looks wonderful in my pint glass. Serious 2 finger head that sticks around and around. When it does subside, a beautiful lace is left behind. The beer is orange with some gold highlights. Agitation brings it back at full force. A great start.		Smell is average, unfortunately. Some citrus hops and some pale malt. But not as pronounced a boquet as I would ask for. What's there is orange, sweet marmelade on biscuits, and caramel.		Taste is also just not cutting it. Looking at my experience rating APA's, I've had several that just pack more flavor and in more creative ways. Great Lakes Burning River and Three Floyds Alpha King blow this away. However this is decent. My biggest issue is that the citrus-backed bitterness and the sweet kiss of honey and bread crust from the malt just fall short of anything more than the average. 		Mouthfeel is above average thanks to the adequate, smooth carbonation and medium body. Finish is wonderful with just a touch of lingering bitterness. Very drinkable as well, I'd like to try it from the source sometime to see what's it's like when maximum freshness is assured. When it surfaces in Ohio, it just lacks the depth and punch I like in my APA's."
179,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,5,4,5,1280377901,ThreeWiseMen,"Poured into a 7oz. snifter.		Appearance: Poured out quite nicely: produced one finger's worth of fluffy, off-white head, which came to rest atop a crystal clear, golden body. Faint streams of carbonation did their best to keep that head up, but it eventually faded to a sticky crown. Bubblebath-like lacing trailed the beer all the way to the bottom of the glass. Nice.		Smell: Pineapple + cat pee = Simcoe. Those are the two aromas I got right off the bat. Pine bark, wholegrain toast, and lime also pulled through. If I could guess, I'd say the hop bill includes late additions of Simcoe and Amarillo hops. Not bad, but not what I typically prefer in a pale either.		Taste: Whole grains, butter and dough form a lovely malt backbone. Lemon zest accents that backbone, while woody hops create a bold, bitter aftertaste. Not sure how old this can is, but I love the malt-hop balance, which is tilted just a bit toward the malty end of the spectrum.		Mouthfeel: Caldera Pale Ale's active yet soft, rolling carbonation massaged my palate for the entire session. The body is light, crisp, and very refreshing. To top things off, the beer finishes bitter but not too dry, and leaves a flavorful, long-lasting aftertaste. It don't get any better than this. Perfect!		Drinkability: The more I drink this, the more it reminds me of New Belgium's Ranger IPA (in a pale ale form, of course). I didn't expect a whole lot out of this one going in, but I finished it in a flash! Will definitely buy more if I come across it again."
180,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3,3,4,4,1280121552,philbertk,Caldera Brewing Company--Caldera Pale Ale--2009 12 oz. Micro Can. 5.60% ABV. 55 IBU's. (4.0 / 5.0) Foamy thin mild lace white head. Clear bright thin yellow orange gold color. Sediment dusty end to pour. Rich aromatic floral hop fruit ester front. Crisp mild CO2 light caramel mild sweet fruit smooth tasty Pale Golden Ale body. Refreshing clean no bitter hop citrus hint satisfying end. Very easy almost wheat malt aromatic estery body. Sampled 7/25/2010. 3 Cans. 6-Pack $10.99.
181,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4.5,1279898459,Brent,"A solid APA - hops bittering is a bit non-descript, but perhaps the cleanest flavor profile I've come across in this style. Nice carbonation. Lively, refined malt notes with firm, consistent hops bittering throughout. Excellent drinkability and sessionablity."
182,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,4,3,3,1279603940,Bubba83,"Poured into a tumbler at 45 degrees. Medium yellow body with an eggshell white 1 finger width head. Retention is agreeable, and lacing is average.		Smells of pine, caramel, butterscotch, fusel alcohol and bread eminate from the glass. 		Quite a bit of butterscotch up front, which I must admit is a bit of a turnoff for me, I'm alright with caramel, but this was a bit buttery. Finishes up with some caramel, pine needles, grapefruit, and traces of alcohol.		Mouthfeel was about what I expected, and felt pretty solid all the way around.		A pretty good pale ale, but I was left a bit underwhelmed in the end by the malt profile. Just above average for a pale ale."
183,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4,1278462434,BeerAdvocate,"Beer review from BA Mag Oct 2007.		The more craft beers that come in cans, the more the stigma that surrounds canned beer will fade away--plus, there is no debate about sunlight and bottle color. That dead horse has been beaten way too much.		Thin tiny-bubbled lace forms from a moderate pour, retention is fine and the lace stays around for most of the session. Brilliant golden color shimmers in the light. Flowery citric hop aroma screams Cascade hops, bit of biscuity malt with a mild caramel sweetness in the nose. Light to medium body with just as much smoothness and crispness, both with ample amounts for the semislick mouthfeel. Minty and earthy yet mainly citric-flavored hop draws in a lot of flavor with a solid bitterness. Very clean palate with bread notes, almost grassy graininess in the middle. Hop bitterness digs in deep but does not go too far to throw anything out of balance. Cascade hops are all over the finish with an earthy citric flavor. Ends with a touch of dry maltiness.		A benchmark ale for PNW Pale Ales, if not American Pale Ales altogether, and that benchmark is not of modest stature. It shows great balance without the Cascade smack taking over, clean and very drinkable. The last of the sample was paired with a plain goat cheese and Pink Lady apples--very nice."
184,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,4,4,4,1278094363,mikereaser,"A - pours a clear orangish rust color with a half inch of sticky white foam		S - nice citrus hop aroma of lemon and grapefruit and bready malts		T - bready malt backbone with some nice citrus hops and a good hoppy bite in the finish		M/D - light bodied with lots of flavor, crisp mouthfeel, i'm definitely going to have more of this one"
185,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3,4,4,4,1277592425,jkrich,"12 oz. can with a slightly different look from the one shown above. No freshness date		Poured a bright, clear orange with a half-inch white head.		Very subdued fruity aromas which quickly fade. This is the least impressive character of this ale.		The ale begins with a pleasant bitterness that lingers on the tongue. There is a very faint metallic flavor that quickly faded. Overall, this is dry and refreshing.		Noticeably carbonated with a light body. The mouthfeel is clean and refreshing. 		While not very complex, this is a summer quaffer with its light, refreshing body and slight fruity bitterness."
186,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,4,3.5,4.5,1277176387,SpdKilz,"Appearance - Pours an almost clear, light golden color with about a finger of relatively slow dissipating head that leaves decent lacing on the glass.		Smell - Toasted bready malts up front with a slight hop profile. I mainly get the bready malt aroma from this, not much else.		Taste - As with the nose, I get heavy bready caramel malt flavor, light floral hops, and just a hint of citrus. Reading some of the other reviews perhaps this is an older can? I do not get nearly the amount of hop profile as others are describing here; mainly light floral hops. Also, I do get just a tinge of honey at the end.		Mouthfeel - Medium to light Mouthfeel, decent carbonation.		Drinkability - This is a good ""lawnmower"" beer in with flavor. Did not present itself to me as anything special, however, it is a easily quaffable beer that would be great on hot summer days."
187,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,3.5,4,4,1277173621,barleywinefiend,"A: Poured a pale amber color, clear with good carbonation leaving a nice white head		S: Light caramel, hops, bitterness, some citrus and floral notes 		T: Floral and citrus with impressive hops, def a American West Coast IPA here. 		M: Lighter bodied with hop bitterness leaving a crisp, bitterness		D: Good. I actually thought this could have been a modest single IPA as well"
188,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,3.5,4,1276458339,joepais,"Thanks to Flexabull to sending me this one out in the vet BIF. I like canned brews that are good and this one fit the bill. Can poured into a strain pint glass produced a nice amount of white head that settled to a lace. The body was clear golden amber in color 		This brew had plenty of floral hops aromas coming from the glass I could tell this was a west coat brew. The flavor was very hop forward too. I think it was extremely close to an IPA in my book, but I have noticed more and more of the APA's heading in that direction. It was crisp and light in the mouth.		The brew was quite enjoyable to drink and I easily could have drank a six pack at a BBQ"
189,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,3.5,4,4,1275798498,Beejay,"A: Pale amber in color, beutifully clear, with a nice white head. 		S: Sweet caramel, a slight tropical fruit flavor with a hint of pine wood. 		T: Sweet fruit flavor at first, followed by a nice tropical hops flavor. A bit of a malt in the back, but the hop flavor dominate. Not too bitter, just pleasantly hoppy.		M: Medium bodied, slightly chewy, perhaps a little over carb'd		D: Very good overall, but I would like to see a little more balance from the malty side. I think the hop profile is dead on."
190,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),2.5,3.5,3,4.5,4,1275439462,Bfarr,"Golden amber with a big foamy head that just floats on top. Crisp pale malt and floral hop aromas. Flavors of light floral hops with a good malty reflection that combine to make a honey-like finish with a light hop linger. Medium carbonation with a non descript mouthfeel.		It might not look like much but it tastes great although there's also not much to talk about in the mouthfeel. I really liked the honey I tasted in the finish."
191,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,4,4,3.5,4,1274928281,robwestcott,"received as an extra from I wish I remember who...		poured from a can a hazy gold to a dogfish head signature glass with a very thin and short lasting head that interestingly left a fair amount of lacing.		smell of strong citrus upon popping the can that transitioned to mild hops afterward. sweet forward fading to a bitter bite at the back of the tongue.		I don't think it was cold enough for my taste with this style of beer - next time around it's going in th freezer for 15 minutes before opening."
192,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4,1274919895,tempest,"Picked up a can at Abe's Cold Beer for a couple bucks and drank it with a Thai curry (good combo). At first seems like a simple, but tasty pale ale. The malts provide a little toast and caramel, while the hops pull in the usual citrus notes. As it warms and I think about what I'm tasting and smelling, a lot more comes out. There are hints of pineapple in the hops, hard sugar candy in the aroma, and peppery spice compliments the orange rind aftertaste. Check this beer out and make sure you let it warm up."
193,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4.5,1274582920,indiapaleale,"Pour - dark golden, not a light-colored pale by any means. Orange with splashes of yellow and a frothy half inch of bubbly white goodness on top.	 	Aroma - citrus-y and cascade-y. Plenty of fresh floral hop aroma combined with a solid amount of sweetness. It has a light piney smell along with that of cake frosting (perhaps?). Hmm...works for me.	 	Taste - damn good. I'd leave it at that but I suppose a person wants to know a little more. A big sip delivers a bitter hoppy bite that is subdued calmly and respectably by a dose of malty medicine. Things are balanced and smooth with just a hint of sharpness in the finish. Love those cascade hops and the fact that this is a close 50/50 when it comes to the malt to hops flavor ratio. Great pale ale from the folks in Shakespeare land.	 	Overall - I really enjoyed this pale ale. This is a very drinkable brew and I mean that in every way possible. Its simple yet flavorful, hoppy but also balanced. Its simply a very good beer. 	 	Would I buy more of it? - absolutely. I wish I could get some more of these, actually I wish I could get more of all the Caldera cans as I really enjoyed each of them very much. Cheers!"
194,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4,4.5,1274535816,Cresant,"Poured this 12 oz. can into a Sam Adams glass. No date. The body was pale gold. The head was modest and bright white leaving only bits of lace.		Smell was a pungent, leafy, skunky hops - yum!. Tea, which was strong but faded. 		Taste was green and grassy with a nice lingering bitter finish. Not hasrsh, but flavorful. Enough biscuity malts to give it some pale ale balance. Very solid and highly drinkable.		Mouthfeel was medium to light in body. Adequate carbonation, finishes pretty smooth. (My 700th review)"
195,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,4,4,3,3,1274399540,Bitterbill,"12oz can received today by the great trader known as russpowell. Thanks Russ!		My first brew from Caldera, there seems to be a kind of obsession with the number 60 on the can that I'm not ""getting"".		It pours a clear light golden colour, good 2 finger head of foam, looks to have some good lacing.		The smell is big citrus hops and an equally big nose of grain, not so good, and some honey, which is nice. Ok, now the grain surpasses the hops and everything else and I'm saying what? I have mixed feelings on the smell, which, don't get me wrong, isn't bad, it ends up being good. 		The taste is a battle between the hoppy bitterness which is, really, a nice light citrus combined with some pine, and a strong grainy flavour that for me, seems out of place for an APA. Hell yes, I like a good malty presence in the style but I'd rather have some sweet caramel taste to balance the hops than an all out frontal attack of grain and grain is what is distracting me. To no good end. Dang.		On the high end of light bodied, lowish level of carbo. The mouthfeel is just fine.		Drinkability? I've noticed after further sipping that the combination of the hops and grain make for an undesirable, to me, bitterness in the finish so...I'm glad this is only 12oz. I'm not fond of this but I'd like to take a stab at Caldera's other offerings. I never judge a brewery based on a one and only beer I've had from them. ;^)"
196,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),3.5,3.5,4,4,4.5,1273493811,hosehead83,"Poured from a 12oz. can into a standard pint glass	Bright golden/orange, with a moderate, dense head of foam	Aroma-Faint hop and citrus notes	Taste-biscuit, citrus rind, subtle hop bite, grapefruit peel in the finish	Overall, a nice, tasty, drinkable APA-out of a can"
197,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,4,4,4.5,4,1271993282,kshankar,"Pours golden with a medium sized white foam. Retention is okay, but lacing sticks well. 		Aroma is bready, somewhat malty, and hoppy. Piney and citrusy. 		Bready, biscuity, malty with a hop character in the finish. The breadyness makes this almost ""buttery"" in texture. 		Mouthfeel is on the lighter side of medium and creamy. Carbonation is okay. 		Drinkability is rather high...lower ABV, great mouthfeel, good taste."
198,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4.5,4,4,4,4.5,1269722488,bump8628,"Golden with a dense white head and a massive cascading of carbonation rising to the surface.		Clean, sweet, graininess with a nice dose of floral/citric/ herbal hops. Cascades are definitely at work in this brew. Finish is dry and crisp with a perfect amount of bitterness.		A more than solid Pale Ale from the folks at Caldera. This one is all West Coast."
199,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),4,3.5,4,4,4,1268076225,WesWes,The beer pours a nice gold color with a thick frothy white head that slowly fades to lacing. The aroma is good. It has a solid pale malt scent with some bisquity notes and a mild citrus hop aroma. There is a creamy/bready character to it. The taste is good as well. It has a good hop bite up front along with a balance of pale and bisquit malts. It's quite a hoppy APA. The mouthfeel is fine. It is a medium bodied beer with good carbonation. This is a good drinking pale ale. It's crisp and bitter and very enjoyable.
200,Caldera Pale Ale,25414,1075,5.5,American Pale Ale (APA),2.5,3,2.5,3,3,1267839055,beertunes,"Poured into 12oz straight glass. Poured a cloudy yellow, almost the color of pineapple juice, with barely a thin cap of white head that had no retention and minimal lacing.		The aroma was mostly malt forward, a pleasant change from Pales that are basically ""IPA light"", with just enough hops to keep the scent balanced. The flavor was balanced as well, although I thought a little on the bland side. None of the flavors really jumped out at me.		The body was typical for the style but lost some points for being overly sticky. Drinkability was OK, I'll drink it again, but this beer is not on the level of Mirror Pond or Manny's.		Overall, a decent enough brew, but nothing special."
